"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 08, 2022","43,901.7","43,833.9","45,399.8","43,572.5","92.41K","0.15%"
"Feb 07, 2022","43,833.9","42,385.2","44,468.3","41,695.4","76.60K","3.40%"
"Feb 06, 2022","42,392.2","41,411.9","42,614.8","41,176.3","31.20K","2.37%"
"Feb 05, 2022","41,412.1","41,566.5","41,899.8","40,963.3","46.32K","-0.37%"
"Feb 04, 2022","41,567.6","37,287.8","41,689.0","37,041.1","95.49K","11.48%"
"Feb 03, 2022","37,287.8","36,890.2","37,304.3","36,297.3","50.35K","1.08%"
"Feb 02, 2022","36,890.2","38,711.2","38,853.8","36,682.3","53.74K","-4.70%"
"Feb 01, 2022","38,709.7","38,475.6","39,230.0","38,037.9","55.20K","0.55%"
"Jan 31, 2022","38,498.6","37,923.8","38,701.4","36,672.8","61.27K","1.53%"
"Jan 30, 2022","37,917.7","38,167.5","38,313.3","37,390.6","34.10K","-0.66%"
"Jan 29, 2022","38,170.8","37,736.5","38,663.7","37,350.2","42.77K","1.13%"
"Jan 28, 2022","37,745.1","37,195.6","37,995.9","36,176.5","69.45K","1.56%"
"Jan 27, 2022","37,164.3","36,800.1","37,215.4","35,543.2","83.52K","0.99%"
"Jan 26, 2022","36,800.4","36,962.3","38,862.6","36,280.0","107.87K","-0.41%"
"Jan 25, 2022","36,950.6","36,691.3","37,501.8","35,729.3","79.68K","0.72%"
"Jan 24, 2022","36,686.3","36,268.6","37,424.0","32,985.6","153.77K","1.15%"
"Jan 23, 2022","36,269.5","35,072.9","36,513.0","34,655.2","70.43K","3.40%"
"Jan 22, 2022","35,075.2","36,467.7","36,749.8","34,116.0","138.09K","-3.84%"
"Jan 21, 2022","36,475.5","40,698.1","41,104.6","35,503.9","155.80K","-10.41%"
"Jan 20, 2022","40,715.9","41,683.6","43,487.1","40,568.3","65.28K","-2.31%"
"Jan 19, 2022","41,677.8","42,365.3","42,558.0","41,160.9","53.77K","-1.62%"
"Jan 18, 2022","42,364.6","42,209.9","42,674.2","41,300.7","47.32K","0.37%"
"Jan 17, 2022","42,209.3","43,080.5","43,179.6","41,559.4","41.44K","-2.02%"
"Jan 16, 2022","43,079.1","43,079.2","43,462.0","42,643.3","28.66K","-0.04%"
"Jan 15, 2022","43,097.0","43,073.6","43,777.9","42,586.1","31.44K","0.06%"
"Jan 14, 2022","43,073.3","42,562.2","43,435.1","41,848.7","50.50K","1.21%"
"Jan 13, 2022","42,560.0","43,900.0","44,404.7","42,337.5","53.42K","-3.05%"
"Jan 12, 2022","43,901.0","42,735.0","44,243.6","42,476.7","53.95K","2.73%"
"Jan 11, 2022","42,733.2","41,829.1","43,090.2","41,287.6","61.78K","2.15%"
"Jan 10, 2022","41,832.2","41,848.9","42,243.8","39,697.0","85.50K","-0.04%"
"Jan 09, 2022","41,848.3","41,681.2","42,764.4","41,260.9","37.51K","0.42%"
"Jan 08, 2022","41,672.0","41,551.3","42,304.4","40,574.3","52.54K","0.30%"